Exercise Name | Preparation | Execution | Target_Muscles
Incline Bench Press | Lie on an incline bench with a barbell | Lower the barbell to your chest, then press it back up | Chest, Shoulders, Triceps
Dumbbell Pullover | Lie on a bench with your upper back supported and dumbbell held over your chest | Lower the dumbbell behind your head, then bring it back up | Chest, Back
Bulgarian Split Squat | Stand in front of a bench with one foot resting on it behind you | Lower your hips into a lunge, then press back up | Quadriceps, Glutes
Renegade Row | Get into a high plank position with a dumbbell in each hand | Row one dumbbell towards your torso, then switch sides | Back, Core
Hanging Leg Raise | Hang from a pull-up bar with arms fully extended | Raise your legs until they're parallel to the ground, then lower back down | Core, Hip Flexors
Farmer's Walk | Grab a heavy dumbbell or kettlebell in each hand | Walk forward with your core tight and shoulders back | Full Body
Clean and Press | Stand with feet shoulder-width apart, barbell on the ground | Clean the barbell to your shoulders, then press it overhead | Full Body
Battle Ropes | Grab the ends of a battle rope with each hand, standing tall | Move your arms up and down rapidly, creating waves with the ropes | Shoulders, Core
Box Jump | Stand in front of a box with feet shoulder-width apart | Jump onto the box, landing softly with knees slightly bent, then step back down | Full Body
Kettlebell Swing | Stand with feet shoulder-width apart, holding a kettlebell with both hands | Swing the kettlebell between your legs, then thrust your hips forward to bring it to shoulder height | Full Body
Jump Rope | Stand with feet together, holding the rope handles at your sides | Jump over the rope as it swings under your feet, keeping a steady rhythm | Full Body
Arnold Press | Sit on a bench with a dumbbell in each hand, palms facing you | Rotate your palms outward as you press the dumbbells overhead, then lower them back | Shoulders, Triceps
